TakeNr;In;Startzeit;Out;Endzeit;Typ;Marker1;Marker2;Bemerkung;Source;Text
;;;;;;;;;;
1.0;01:00:00:00;00:00:00:00;01:00:09:09;00:00:09:09;A;;;;;
;;;;;;;;;;
2.0;01:00:09:09;00:00:09:09;01:00:18:02;00:00:18:02;;;;;IZZY;(INS ON) (LAUTE)
;;;;;;;;;;
2.0;01:00:09:09;00:00:09:09;01:00:18:02;00:00:18:02;;;;;STEDE;(ÜBERL) (EVTL) (ATMER) (Laute)
;;00;;00;;;;;;
3.0;01:00:18:02;00:00:18:02;01:00:27:01;00:00:27:01;;;;;STEDE;(KAMPFLAUTE)
;;00;;00;;;;;;
3.0;01:00:18:02;00:00:18:02;01:00:27:01;00:00:27:01;;;;;IZZY;(KAMPFLAUTE)
;;00;;00;;;;;;
4.0;01:00:27:01;00:00:27:01;01:00:30:02;00:00:30:02;;;;;STEDE;Izzy, warte. .. Ich hab's dir nie zurückgezahlt.
;;00;;00;;;;;;
5.0;01:00:30:02;00:00:30:02;01:00:33:21;00:00:33:21;;;;;IZZY;Was hast du mir nie zurückgezahlt? .. (CONT) (LAUT)
;;00;;00;;;;;;
6.0;01:00:33:12;00:00:33:12;01:00:35:12;00:00:35:12;Ü;;;;STEDE;(CONT/ON) (VORSCHL) Dass du uns an die Engländer verkauft hast.
;;00;;00;;;;;;
7.0;01:00:35:12;00:00:35:12;01:00:40:21;00:00:40:21;;;;;IZZY;(INS ON) (ATMER) (LAUTE) .. 
;;00;;00;;;;;;
8.0;01:00:40:21;00:00:40:21;01:00:44:18;00:00:44:18;;;;;IZZY;(OFF) Ich hab dich nie gezwungen, ihn zu verlassen. .. Das hast du von allein getan.
;;00;;00;;;;;;
9.0;01:00:44:18;00:00:44:18;01:00:54:18;00:00:54:18;;;;;STEDE;(LAUT)
;;00;;00;;;;;;
9.0;01:00:44:18;00:00:44:18;01:00:54:18;00:00:54:18;;;;;IZZY;(SCHREI) (ATMER) (LAUTE)
;;00;;00;;;;;;
10.0;01:00:54:18;00:00:54:18;01:00:59:22;00:00:59:22;;;;;STEDE;(OFF) Wo ist er? .. (INS ON) (EVTL ATMER) Wo ist Ed?
;;00;;00;;;;;;
11.0;01:00:59:22;00:00:59:22;01:01:00:24;00:01:00:24;A;;;;;
;;00;;00;;;;;;
12.0;01:01:00:24;00:01:00:24;01:01:11:14;00:01:11:14;;;;;IZZY;Du unglaublicher . Kackvogel. (2.F.: Du unglaubliches Arschloch.)
;;00;;00;;;;;;
13.0;01:01:11:14;00:01:11:14;01:01:16:11;00:01:16:11;;;;;STEDE;(ATMER) (KL SCHNIEFER) (ATMER)
;;00;;00;;;;;;
13.0;01:01:11:14;00:01:11:14;01:01:16:11;00:01:16:11;;;;;BLACKBEARD;(OFF) (überl) Stede!
;;00;;00;;;;;;
13.0;01:01:11:14;00:01:11:14;01:01:16:11;00:01:16:11;;;;;STEDE;Ed!
;;00;;00;;;;;;
14.0;01:01:16:11;00:01:16:11;01:01:17:11;00:01:17:11;A;;;;;
;;00;;00;;;;;;
15.0;01:01:17:11;00:01:17:11;01:01:19:09;00:01:19:09;;;;;BLACKBEARD;(ON) Stede!
;;00;;00;;;;;;
16.0;01:01:19:09;00:01:19:09;01:01:23:13;00:01:23:13;;;;;STEDE;(ATMER) Ed!
;;00;;00;;;;;;
17.0;01:01:23:13;00:01:23:13;01:01:27:21;00:01:27:21;A;;;;;
;;00;;00;;;;;;
18.0;01:01:27:21;00:01:27:21;01:01:37:01;00:01:37:01;;01:01:35:04;;;BLACKBEARD;Stede! .. (x) Stede!
;;00;;00;;;;;;
19.0;01:01:37:01;00:01:37:01;01:01:42:13;00:01:42:13;A;;;;;
;;00;;00;;;;;;
20.0;01:01:42:13;00:01:42:13;01:01:49:06;00:01:49:06;;;;;STEDE;Ed!
;;00;;00;;;;;;
20.0;01:01:42:13;00:01:42:13;01:01:49:06;00:01:49:06;;;;;BLACKBEARD;(ATMER) (LAUTE)
;;00;;00;;;;;;
20.0;01:01:42:13;00:01:42:13;01:01:49:06;00:01:49:06;;;;;STEDE;(ATMER) (LAUTE)
;;00;;00;;;;;;
20.0;01:01:42:13;00:01:42:13;01:01:49:06;00:01:49:06;;;;;STEDE;(LACHEN)
;;00;;00;;;;;;
21.0;01:01:49:06;00:01:49:06;01:01:51:15;00:01:51:15;;;;;BLACKBEARD;Ich wusste, du würdest mich finden.
;;00;;00;;;;;;
22.0;01:01:51:15;00:01:51:15;01:01:55:19;00:01:55:19;;;;;STEDE;Du bist nicht sauer?
;;00;;00;;;;;;
22.0;01:01:51:15;00:01:51:15;01:01:55:19;00:01:55:19;;;;;BLACKBEARD;Liebster, ich hab es gewusst.
;;00;;00;;;;;;
23.0;01:01:55:19;00:01:55:19;01:02:00:09;00:02:00:09;;;;;STEDE;(evtl Atmer) Dann ist (ATMER) zwischen uns (ATMER) soweit alles geklärt?
;;00;;00;;;;;;
24.0;01:02:00:09;00:02:00:09;01:02:05:06;00:02:05:06;;;;;BLACKBEARD;Scheiße, dein Bart ist super.
;;00;;00;;;;;;
24.0;01:02:00:09;00:02:00:09;01:02:05:06;00:02:05:06;;;;;STEDE;Ich hab gedacht, ich versuch mal was Neues.
;;00;;00;;;;;;
25.0;01:02:05:06;00:02:05:06;01:02:07:15;00:02:07:15;A;;;;;
;;00;;00;;;;;;
26.0;01:02:07:15;00:02:07:15;01:02:13:07;00:02:13:07;;;;;BLACKBEARD;Uh, Bro. .. (OFF) Bist du das?
;;00;;00;;;;;;
26.0;01:02:07:15;00:02:07:15;01:02:13:07;00:02:13:07;;;;;STEDE;Nein. .. Oh Gott. .. (OFF) Nein! .. 
;;00;;00;;;;;;
27.0;01:02:13:07;00:02:13:07;01:02:15:21;00:02:15:21;;;;;STEDE;Tut mir echt leid. Tut mir echt leid.
;;00;;00;;;;;;
28.0;01:02:15:21;00:02:15:21;01:02:21:18;00:02:21:18;;;;;STEDE;(ATMER) (RIECHLAUTE) Oh. (Zög) Herrgott! .. Wee John!
;;00;;00;;;;;;
29.0;01:02:21:18;00:02:21:18;01:02:25:07;00:02:25:07;;;;;BUTTONS;Kannst du die Schnauze halten, Mann? (2.F. Können Sie...)
;;00;;00;;;;;;
29.0;01:02:21:18;00:02:21:18;01:02:25:07;00:02:25:07;;;;;STEDE;(OFF) Er hat mich angefurzt.
;;00;;00;;;;;;
30.0;01:02:24:22;00:02:24:22;01:02:28:15;00:02:28:15;Ü;;;;ROACH;(OFF) (SCHREI) Halt die Klappe! (ATMER) (2. Halten Sie...)
;;00;;00;;;;;;
30.0;01:02:24:22;00:02:24:22;01:02:28:15;00:02:28:15;Ü;;;;BLACK PETE;(OFF) (ÜBERL) Halt's Maul! Es reicht! (2. Maul halten!)
;;00;;00;;;;;;
30.0;01:02:24:22;00:02:24:22;01:02:28:15;00:02:28:15;Ü;;;;BUTTONS;(OFF) (ÜBERL) (Halt die) Schnauze, Mann!
;;00;;00;;;;;;
30.0;01:02:24:22;00:02:24:22;01:02:28:15;00:02:28:15;Ü;;;;ROACH;(OFF) (ÜBERL) (SEUFZER)
;;00;;00;;;;;;
31.0;01:02:28:02;00:02:28:02;01:02:31:02;00:02:31:02;Ü;;;;STEDE;Es ist noch da. (Zög) Es ist 'ne Wand aus Gestank.
;;00;;00;;;;;;
31.0;01:02:28:02;00:02:28:02;01:02:31:02;00:02:31:02;Ü;;;;WEE JOHN FEENEY;(OFF) (überl) (SEUFZER) (ATMER)
;;00;;00;;;;;;
32.0;01:02:30:12;00:02:30:12;01:02:35:02;00:02:35:02;Ü;;;;BLACK PETE;"Kann nicht schlimmer sein als Ihr Ed, oh Ed""-Gestöhne die ganze Nacht."""
;;00;;00;;;;;;
32.0;01:02:30:12;00:02:30:12;01:02:35:02;00:02:35:02;Ü;;;;ROACH;Mhm.
;;00;;00;;;;;;
33.0;01:02:34:21;00:02:34:21;01:02:40:04;00:02:40:04;Ü;;;;STEDE;Haltet die Klappe! .. Oh, er hat's wieder getan. Oh Gott.
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;BLACK PETE;(OFF) (Unverständl.) Meine Güte, ein kleines Püpschen. .. Ist doch nicht so schlimm.
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;WEE JOHN FEENEY;(OFF) (Unverständl.) Kann doch mal passieren.
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;OLUWANDE;(OFF) (ÜBERL) (REAKTION)
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;BUTTONS;Ist ja gut. Klappe, Mann!
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;ROACH;(OFF) Schsch...
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;STEDE;"Unfassbar. .. Dein Sch"" macht mehr Lärm als meine Beschwerde darüber, dass ich fast durch seine Fürze sterbe."""
;;00;;00;;;;;;
34.0;01:02:38:21;00:02:38:21;01:02:48:20;00:02:48:20;Ü;;;;ROACH;(OFF) Sch.
;;00;;00;;;;;;
35.0;01:02:45:08;00:02:45:08;01:02:48:23;00:02:48:23;Ü;;;;MAINTITLE;OUR FLAG MEANS DEATH
;;00;;00;;;;;;
35.0;01:02:45:08;00:02:45:08;01:02:48:23;00:02:48:23;Ü;;;;ANMERKUNG;(Anm: Ich muss leider die Du/Sie-Thematik noch einmal aufgreifen. In Staffel 1 hatten sich Stede und Izzy gesiezt. Vielleicht könnte das allerdings vorne im Kampf komisch kommen. Man kennt sich ja nun auch besser. Außerdem hat Stede zwar seine Crew geduzt, aber alle haben ihn gesiezt. Da zwischenzeitlich viel passiert ist, könnte man auch das aufweichen. Und alle duzen sich. Der Respekt scheint ja auch immer mehr zu fehlen.)
;;00;;00;;;;;;
36.0;01:02:48:23;00:02:48:23;01:02:50:10;00:02:50:10;A;;;;IT;(SCHNARCHEN) (auch ff Takes)
;;00;;00;;;;;;
37.0;01:02:50:10;00:02:50:10;01:02:57:00;00:02:57:00;;;;;STEDE VO;(VO) Lieber Ed. (Zög) Die Mannschaft und ich sind in Sicherheit .. und das blühende Leben. ..
;;00;;00;;;;;;
38.0;01:02:57:00;00:02:57:00;01:03:06:13;00:03:06:13;;;;;STEDE VO; Da ich dem Wohlstand abgeschworen habe, waren wir gezwungen, uns vorübergehend in der Piraten-Republik niederzulassen. .. Zum Glück konnten wir einige von Oluwandes Beziehungen aktivieren...
;;00;;00;;;;;;
39.0;01:03:06:12;00:03:06:12;01:03:10:09;00:03:10:09;Ü;;;;OLUWANDE;(OFF/INS ON) In der Kurz- und in der Langversion (Zög) suchen wir also Arbeit. .. 
;;00;;00;;;;;;
40.0;01:03:10:09;00:03:10:09;01:03:12:11;00:03:12:11;A;;;;;
;;00;;00;;;;;;
41.0;01:03:12:11;00:03:12:11;01:03:14:21;00:03:14:21;;;;;OLUWANDE;Womöglich, (Zög) womöglich auch ein Schlafplätzchen?
;;00;;00;;;;;;
42.0;01:03:14:21;00:03:14:21;01:03:18:01;00:03:18:01;;;;;SPANISH JACKIE;Hat dieser Hirnie nicht mein Nasenglas zerstört?
;;00;;00;;;;;;
43.0;01:03:18:01;00:03:18:01;01:03:22:19;00:03:22:19;;;;;STEDE;Ähm... Ja. Hi. (ATMER) (OFF) Erneut bitte ich um Verzeihung.
;;00;;00;;;;;;
44.0;01:03:22:19;00:03:22:19;01:03:24:07;00:03:24:07;;;;;SPANISH JACKIE;Wer ist Blondie?
;;00;;00;;;;;;
45.0;01:03:24:07;00:03:24:07;01:03:28:11;00:03:28:11;;;;;STEDE;Ja, du.
;;00;;00;;;;;;
45.0;01:03:24:07;00:03:24:07;01:03:28:11;00:03:28:11;;;;;OLUWANDE;(OFF) Das (Zög) ist der Schwede.
;;00;;00;;;;;;
45.0;01:03:24:07;00:03:24:07;01:03:28:11;00:03:28:11;;;;;SCHWEDE;Ich bin der Schwede.
;;00;;00;;;;;;
46.0;01:03:28:11;00:03:28:11;01:03:30:00;00:03:30:00;;;;;ROACH;(INS ON) Er ist Single.
;;00;;00;;;;;;
47.0;01:03:30:00;00:03:30:00;01:03:33:05;00:03:33:05;;;;;SPANISH JACKIE;(OFF) Komm mal zu mir, Baby. .. (ON) Warum so schüchtern? (Zög) (OFF) Komm her.
;;00;;00;;;;;;
48.0;01:03:33:05;00:03:33:05;01:03:35:06;00:03:35:06;;;;;WEE JOHN FEENEY;Los!
;;00;;00;;;;;;
48.0;01:03:33:05;00:03:33:05;01:03:35:06;00:03:35:06;;;;;ROACH;Geh!
;;00;;00;;;;;;
48.0;01:03:33:05;00:03:33:05;01:03:35:06;00:03:35:06;;;;;STEDE;Ist okay!
;;00;;00;;;;;;
48.0;01:03:33:05;00:03:33:05;01:03:35:06;00:03:35:06;;;;;ROACH;(ÜBERL) Immer schön mutig.
;;00;;00;;;;;;
48.0;01:03:33:05;00:03:33:05;01:03:35:06;00:03:35:06;;;;;WEE JOHN FEENEY;(ÜBERL) Los. (Zög) Los.
;;00;;00;;;;;;
49.0;01:03:35:04;00:03:35:04;01:03:38:17;00:03:38:17;Ü;;;;SPANISH JACKIE;(LACHER) (ATMER) Dreh dich mal für mich.
;;00;;00;;;;;;
50.0;01:03:38:17;00:03:38:17;01:03:44:17;00:03:44:17;;;;;SCHWEDE;Okay.
;;00;;00;;;;;;
50.0;01:03:38:17;00:03:38:17;01:03:44:17;00:03:44:17;;;;;SPANISH JACKIE;(OFF) (KL LACHER) .. (INS ON) Was für ein prächtiges Exemplar von Mann. .. 
;;00;;00;;;;;;
51.0;01:03:44:17;00:03:44:17;01:03:49:07;00:03:49:07;;;;;SPANISH JACKIE;(INS ON) (LACHEN) Ihr Jungs kriegt 'n Schlafplatz im Keller.
;;00;;00;;;;;;
51.0;01:03:44:17;00:03:44:17;01:03:49:07;00:03:49:07;;;;;SPANISH JACKIE;(OFF) Die Arbeit beginnt in 20 Minuten.
;;00;;00;;;;;;
52.0;01:03:48:08;00:03:48:08;01:03:51:24;00:03:51:24;Ü;;;;SCHWEDE;(REAKTION)
;;00;;00;;;;;;
